"filename", "language", "XMake", "JSON", "Markdown", "C++", "Lua", "YAML", "comment", "blank", "total"
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.cpp", "C++", 0, 0, 0, -45, 0, 0, 0, -6, -51
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\base\Utils.h", "C++", 0, 0, 0, -9, 0, 0, 0, -6, -15
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\fix\CFSPFixManager.cpp", "C++", 0, 0, 0, -122, 0, 0, -10, -11, -143
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\fix\CFSPFixManager.h", "C++", 0, 0, 0, -11, 0, 0, 0, -1, -12
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.cpp", "C++", 0, 0, 0, -30, 0, 0, 0, -4, -34
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.h", "C++", 0, 0, 0, -15, 0, 0, 0, -4, -19
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupData.h", "C++", 0, 0, 0, -14, 0, 0, 0, -2, -16
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupPermission.h", "C++", 0, 0, 0, -32, 0, 0, 0, 0, -32
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPAutoFuncHelper.cpp", "C++", 0, 0, 0, -73, 0, 0, 0, -3, -76
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPHelperManager.cpp", "C++", 0, 0, 0, -13, 0, 0, 0, -2, -15
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPHelperManager.h", "C++", 0, 0, 0, -22, 0, 0, 0, -5, -27
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPOperateHelper.cpp", "C++", 0, 0, 0, -46, 0, 0, 0, -3, -49
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPSaveHelper.cpp", "C++", 0, 0, 0, -153, 0, 0, 0, -7, -160
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\CFSPSchduleHelper.cpp", "C++", 0, 0, 0, -11, 0, 0, 0, -3, -14
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPGroupManager.cpp", "C++", 0, 0, 0, -193, 0, 0, -1, -12, -206
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.cpp", "C++", 0, 0, 0, -209, 0, 0, 0, -25, -234
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.h", "C++", 0, 0, 0, -206, 0, 0, 0, -24, -230
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPPermissionManager.cpp", "C++", 0, 0, 0, -365, 0, 0, -5, -15, -385
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPSpManager.cpp", "C++", 0, 0, 0, -330, 0, 0, -12, -28, -370
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.cpp", "C++", 0, 0, 0, -161, 0, 0, -4, -21, -186
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.h", "C++", 0, 0, 0, -72, 0, 0, 0, -11, -83
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerAction.cpp", "C++", 0, 0, 0, -161, 0, 0, -1, -7, -169
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerBase.cpp", "C++", 0, 0, 0, -31, 0, 0, 0, -7, -38
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerInv.cpp", "C++", 0, 0, 0, -115, 0, 0, 0, -6, -121
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerMessage.cpp", "C++", 0, 0, 0, -35, 0, 0, 0, -2, -37
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerMove.cpp", "C++", 0, 0, 0, -37, 0, 0, 0, -3, -40
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerPermission.h", "C++", 0, 0, 0, -32, 0, 0, 0, -1, -33
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSave.cpp", "C++", 0, 0, 0, -63, 0, 0, 0, -3, -66
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSaveData.h", "C++", 0, 0, 0, -21, 0, 0, 0, -2, -23
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerStatus.cpp", "C++", 0, 0, 0, -56, 0, 0, 0, -4, -60
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.cpp", "C++", 0, 0, 0, -69, 0, 0, -3, -8, -80
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.h", "C++", 0, 0, 0, -19, 0, 0, -1, -5, -25
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\GroupCommand.cpp", "C++", 0, 0, 0, -587, 0, 0, -15, -19, -621
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\GuiCommand.cpp", "C++", 0, 0, 0, -41, 0, 0, -3, -4, -48
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\SpCommand.cpp", "C++", 0, 0, 0, -622, 0, 0, -16, -24, -662
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp", "C++", 0, 0, 0, -190, 0, 0, 0, -12, -202
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.h", "C++", 0, 0, 0, -128, 0, 0, 0, -7, -135
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateGroupGui.cpp", "C++", 0, 0, 0, -858, 0, 0, 0, -85, -943
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp", "C++", 0, 0, 0, -922, 0, 0, 0, -87, -1009
"f:\Project\levilamina\1.4.x\CFSP\src\lang\en_US.json", "JSON", 0, -7, 0, 0, 0, 0, 0, 0, -7
"f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json", "JSON", 0, -310, 0, 0, 0, 0, 0, 0, -310
"f:\Project\levilamina\1.4.x\CFSP\tooth.json", "JSON", 0, -26, 0, 0, 0, 0, 0, 0, -26
"f:\Project\levilamina\1.4.x\CFSP\xmake.lua", "XMake", -59, 0, 0, 0, 0, 0, -3, -8, -70
"f:\Project\levilamina\1.5.x\CFSP\.github\ISSUE_TEMPLATE\bug_report.yml", "YAML", 0, 0, 0, 0, 0, 47, 0, 9, 56
"f:\Project\levilamina\1.5.x\CFSP\.github\ISSUE_TEMPLATE\feature_request.yml", "YAML", 0, 0, 0, 0, 0, 25, 0, 4, 29
"f:\Project\levilamina\1.5.x\CFSP\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 9, 19
"f:\Project\levilamina\1.5.x\CFSP\.github\workflows\build.yml", "YAML", 0, 0, 0, 0, 0, 34, 10, 12, 56
"f:\Project\levilamina\1.5.x\CFSP\.github\workflows\release.yml", "YAML", 0, 0, 0, 0, 0, 68, 0, 17, 85
"f:\Project\levilamina\1.5.x\CFSP\CHANGELOG.md", "Markdown", 0, 0, 106, 0, 0, 0, 0, 73, 179
"f:\Project\levilamina\1.5.x\CFSP\CHANGELOG_ZH.md", "Markdown", 0, 0, 106, 0, 0, 0, 0, 73, 179
"f:\Project\levilamina\1.5.x\CFSP\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 12, 26
"f:\Project\levilamina\1.5.x\CFSP\manifest.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 7
"f:\Project\levilamina\1.5.x\CFSP\scripts\after_build.lua", "Lua", 0, 0, 0, 0, 105, 0, 1, 19, 125
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\CFSP.cpp", "C++", 0, 0, 0, 22, 0, 0, 1, 9, 32
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\CFSP.h", "C++", 0, 0, 0, 15, 0, 0, 6, 14, 35
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\Config.h", "C++", 0, 0, 0, 28, 0, 0, 0, 6, 34
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\MemoryOperators.cpp", "C++", 0, 0, 0, 2, 0, 0, 2, 3, 7
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\PermissionConfig.h", "C++", 0, 0, 0, 70, 0, 0, 0, 3, 73
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\base\Macros.h", "C++", 0, 0, 0, 6, 0, 0, 0, 2, 8
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\base\OperateResult.h", "C++", 0, 0, 0, 44, 0, 0, 0, 9, 53
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\base\Schedule.h", "C++", 0, 0, 0, 17, 0, 0, 0, 5, 22
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\base\Utils.cpp", "C++", 0, 0, 0, 45, 0, 0, 0, 6, 51
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\base\Utils.h", "C++", 0, 0, 0, 9, 0, 0, 0, 6, 15
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\fix\CFSPFixManager.cpp", "C++", 0, 0, 0, 122, 0, 0, 10, 11, 143
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\fix\CFSPFixManager.h", "C++", 0, 0, 0, 11, 0, 0, 0, 1, 12
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\group\CFSPGroup.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 4, 34
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\group\CFSPGroup.h", "C++", 0, 0, 0, 15, 0, 0, 0, 4, 19
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\group\GroupData.h", "C++", 0, 0, 0, 14, 0, 0, 0, 2, 16
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\group\GroupPermission.h", "C++", 0, 0, 0, 32, 0, 0, 0, 0, 32
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\helper\CFSPAutoFuncHelper.cpp", "C++", 0, 0, 0, 73, 0, 0, 0, 3, 76
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\helper\CFSPHelperManager.cpp", "C++", 0, 0, 0, 13, 0, 0, 0, 2, 15
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\helper\CFSPHelperManager.h", "C++", 0, 0, 0, 22, 0, 0, 0, 5, 27
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\helper\CFSPOperateHelper.cpp", "C++", 0, 0, 0, 46, 0, 0, 0, 3, 49
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\helper\CFSPSaveHelper.cpp", "C++", 0, 0, 0, 153, 0, 0, 0, 7, 160
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\helper\CFSPSchduleHelper.cpp", "C++", 0, 0, 0, 11, 0, 0, 0, 3, 14
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\manager\CFSPGroupManager.cpp", "C++", 0, 0, 0, 193, 0, 0, 1, 12, 206
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\manager\CFSPManager.cpp", "C++", 0, 0, 0, 236, 0, 0, 0, 25, 261
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\manager\CFSPManager.h", "C++", 0, 0, 0, 206, 0, 0, 0, 24, 230
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\manager\CFSPPermissionManager.cpp", "C++", 0, 0, 0, 365, 0, 0, 5, 15, 385
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\manager\CFSPSpManager.cpp", "C++", 0, 0, 0, 330, 0, 0, 12, 28, 370
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.cpp", "C++", 0, 0, 0, 161, 0, 0, 4, 21, 186
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.h", "C++", 0, 0, 0, 72, 0, 0, 0, 11, 83
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerAction.cpp", "C++", 0, 0, 0, 161, 0, 0, 1, 7, 169
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerBase.cpp", "C++", 0, 0, 0, 31, 0, 0, 0, 7, 38
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerInv.cpp", "C++", 0, 0, 0, 115, 0, 0, 0, 6, 121
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerMessage.cpp", "C++", 0, 0, 0, 35, 0, 0, 0, 2, 37
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerMove.cpp", "C++", 0, 0, 0, 37, 0, 0, 0, 3, 40
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerPermission.h", "C++", 0, 0, 0, 32, 0, 0, 0, 1, 33
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSave.cpp", "C++", 0, 0, 0, 63, 0, 0, 0, 3, 66
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSaveData.h", "C++", 0, 0, 0, 21, 0, 0, 0, 2, 23
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\core\simPlayer\SimPlayerStatus.cpp", "C++", 0, 0, 0, 56, 0, 0, 0, 4, 60
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\command\ComandManager.cpp", "C++", 0, 0, 0, 113, 0, 0, 4, 9, 126
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\command\ComandManager.h", "C++", 0, 0, 0, 19, 0, 0, 1, 5, 25
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\command\GroupCommand.cpp", "C++", 0, 0, 0, 587, 0, 0, 15, 19, 621
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\command\GuiCommand.cpp", "C++", 0, 0, 0, 41, 0, 0, 3, 4, 48
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\command\SpCommand.cpp", "C++", 0, 0, 0, 622, 0, 0, 16, 24, 662
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp", "C++", 0, 0, 0, 193, 0, 0, 0, 12, 205
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\gui\GuiManager.h", "C++", 0, 0, 0, 128, 0, 0, 0, 7, 135
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\gui\OperateGroupGui.cpp", "C++", 0, 0, 0, 858, 0, 0, 0, 85, 943
"f:\Project\levilamina\1.5.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp", "C++", 0, 0, 0, 922, 0, 0, 0, 87, 1009
"f:\Project\levilamina\1.5.x\CFSP\src\lang\en_US.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 7
"f:\Project\levilamina\1.5.x\CFSP\src\lang\zh_CN.json", "JSON", 0, 313, 0, 0, 0, 0, 0, 0, 313
"f:\Project\levilamina\1.5.x\CFSP\tooth.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 26
"f:\Project\levilamina\1.5.x\CFSP\xmake.lua", "XMake", 58, 0, 0, 0, 0, 0, 3, 8, 69
"Total", "-", -1, 3, 35, 74, 0, 0, 1, 28, 140
