"filename", "language", "JSON", "XMake", "Markdown", "YAML", "Lua", "C++", "comment", "blank", "total"
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\CFSPGroup.h", "C++", 0, 0, 0, 0, 0, 13, 0, 4, 17
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupData.h", "C++", 0, 0, 0, 0, 0, 13, 0, 2, 15
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\group\GroupPermission.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 5
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\SimPlayerHelper.cpp", "C++", 0, 0, 0, 0, 0, 8, 0, 2, 10
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\SimPlayerHelper.h", "C++", 0, 0, 0, 0, 0, 10, 0, 4, 14
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\helper\SimPlayerSaveHelper.cpp", "C++", 0, 0, 0, 0, 0, 139, 0, 6, 145
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.cpp", "C++", 0, 0, 0, 0, 0, 234, 3, 28, 265
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManager.h", "C++", 0, 0, 0, 0, 0, 58, 0, 7, 65
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerGroup.cpp", "C++", 0, 0, 0, 0, 0, 19, 0, 3, 22
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\manager\CFSPManagerSp.cpp", "C++", 0, 0, 0, 0, 0, 106, 2, 7, 115
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayer.h", "C++", 0, 0, 0, 0, 0, 28, 0, 5, 33
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerBase.cpp", "C++", 0, 0, 0, 0, 0, 31, 0, 6, 37
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerInv.cpp", "C++", 0, 0, 0, 0, 0, 17, 0, 3, 20
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerPermission.h", "C++", 0, 0, 0, 0, 0, 8, 0, 1, 9
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSave.cpp", "C++", 0, 0, 0, 0, 0, 30, 0, 3, 33
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\core\simPlayer\SimPlayerSaveData.h", "C++", 0, 0, 0, 0, 0, 21, 0, 3, 24
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.cpp", "C++", 0, 0, 0, 0, 0, 68, 3, 8, 79
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\ComandManager.h", "C++", 0, 0, 0, 0, 0, 18, 1, 5, 24
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\GuiCommand.cpp", "C++", 0, 0, 0, 0, 0, 56, 3, 5, 64
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\command\SpCommand.cpp", "C++", 0, 0, 0, 0, 0, 100, 2, 4, 106
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.cpp", "C++", 0, 0, 0, 0, 0, 158, 0, 11, 169
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\GuiManager.h", "C++", 0, 0, 0, 0, 0, 33, 0, 5, 38
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateGroupGui.cpp", "C++", 0, 0, 0, 0, 0, 5, 0, 2, 7
"f:\Project\levilamina\1.4.x\CFSP\src\cfsp\entrance\gui\OperateSpGui.cpp", "C++", 0, 0, 0, 0, 0, 70, 0, 3, 73
"f:\Project\levilamina\1.4.x\CFSP\src\lang\en_US.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 7
"f:\Project\levilamina\1.4.x\CFSP\src\lang\zh_CN.json", "JSON", 92, 0, 0, 0, 0, 0, 0, 0, 92
"f:\Project\levilamina\1.4.x\CFSP\tooth.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 26
"f:\Project\levilamina\1.4.x\CFSP\xmake.lua", "XMake", 0, 59, 0, 0, 0, 0, 3, 8, 70
"Total", "-", 132, 59, 201, 174, 105, 1463, 37, 403, 2574
